Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Fra:1 Mem:52.06M (Peak 52.32M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Foundation
Fra:1 Mem:52.06M (Peak 52.32M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag
Fra:1 Mem:52.07M (Peak 52.32M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.001
Fra:1 Mem:52.08M (Peak 52.32M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.003
Fra:1 Mem:54.08M (Peak 54.08M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.005
Fra:1 Mem:54.08M (Peak 54.08M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.006
Fra:1 Mem:54.09M (Peak 54.09M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.007
Fra:1 Mem:54.37M (Peak 54.37M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.008
Fra:1 Mem:54.36M (Peak 54.37M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.010
Fra:1 Mem:54.39M (Peak 54.39M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.011
Fra:1 Mem:54.45M (Peak 54.45M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.012
Fra:1 Mem:54.48M (Peak 54.48M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.013
Fra:1 Mem:54.47M (Peak 54.48M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.014
Fra:1 Mem:54.52M (Peak 54.52M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.015
Fra:1 Mem:54.57M (Peak 54.57M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.016
Fra:1 Mem:54.55M (Peak 54.57M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.018
Fra:1 Mem:54.56M (Peak 54.57M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.020
Fra:1 Mem:54.58M (Peak 54.58M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.021
Fra:1 Mem:54.67M (Peak 54.67M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.022
Fra:1 Mem:54.65M (Peak 54.67M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.023
Fra:1 Mem:54.71M (Peak 54.71M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.024
Fra:1 Mem:54.75M (Peak 54.75M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.025
Fra:1 Mem:54.76M (Peak 54.76M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.026
Fra:1 Mem:54.77M (Peak 54.77M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.027
Fra:1 Mem:54.80M (Peak 54.80M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.028
Fra:1 Mem:54.83M (Peak 54.83M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.029
Fra:1 Mem:54.82M (Peak 54.83M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.030
Fra:1 Mem:54.86M (Peak 54.86M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.031
Fra:1 Mem:54.91M (Peak 54.91M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.032
Fra:1 Mem:54.88M (Peak 54.91M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.033
Fra:1 Mem:54.96M (Peak 54.96M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.034
Fra:1 Mem:54.99M (Peak 54.99M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.035
Fra:1 Mem:55.03M (Peak 55.03M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.036
Fra:1 Mem:55.00M (Peak 55.03M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.039
Fra:1 Mem:55.01M (Peak 55.03M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.040
Fra:1 Mem:55.11M (Peak 55.11M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.041
Fra:1 Mem:55.14M (Peak 55.14M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.042
Fra:1 Mem:55.15M (Peak 55.15M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.043
Fra:1 Mem:55.21M (Peak 55.21M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.044
Fra:1 Mem:55.21M (Peak 55.21M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.045
Fra:1 Mem:55.24M (Peak 55.24M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.046
Fra:1 Mem:55.33M (Peak 55.33M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.047
Fra:1 Mem:55.30M (Peak 55.33M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.048
